train_time,dataset,test_acc,inside_labels,unknown_labels,nb_epochs,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold
651.5334143638611,mnist,0.9899287644313437,"[0, 1, 4, 8]","[7, 9]",100.0,0.8198269503982245,0.013369837418249453,0.8248497899976341,0.01722805447131392,0.8013955331151854,0.26633327251749805,0.8097316201104339,0.3100926635931924
650.4742245674133,mnist,0.9894374846475068,"[0, 1, 4, 8]","[7, 9]",100.0,0.8149988622217182,0.01722805447131392,0.8213974810129735,0.024569164629827903,0.7913134068745282,0.27317215984413734,0.802038692447835,0.39957803018952653
654.9065358638763,mnist,0.9896831245394252,"[0, 1, 4, 8]","[7, 9]",100.0,0.77606916726085,0.01906690840512252,0.7912164524334521,0.026510836019085417,0.7562038320122872,0.27317215984413734,0.7767678853346538,0.3895745615775501
1345.0794475078583,mnist,0.9828187250996016,"[2, 4, 7, 8]","[3, 6]",100.0,0.8827173368883194,0.025847135074695583,0.8806232249106741,0.02934049709215781,0.8770187868203623,0.4771760948938751,0.8770291223439165,0.5698437059469136
1281.637666463852,mnist,0.9825697211155379,"[2, 4, 7, 8]","[3, 6]",100.0,0.8839700661844977,0.027889802923804396,0.8842170532494018,0.02934049709215781,0.8743144347917624,0.3895745615775501,0.8738383300150238,0.4203621683844718
1277.427496433258,mnist,0.9813247011952191,"[2, 4, 7, 8]","[3, 6]",100.0,0.8988176716591956,0.026510836019085417,0.8975002168621022,0.026510836019085417,0.8911205554631823,0.3895745615775501,0.8914854582544506,0.5555776222398878
1325.0247383117676,mnist,0.984398590840463,"[2, 3, 6, 8]","[5, 0]",100.0,0.8612148473913677,0.022769702553816752,0.8560578373148026,0.022769702553816752,0.8565457282174257,0.32622220097116733,0.8524634264048682,0.4203621683844718
1255.544497013092,mnist,0.9833920483140413,"[2, 3, 6, 8]","[5, 0]",100.0,0.8597066163955669,0.022769702553816752,0.8536846068073831,0.027889802923804396,0.8586082800066388,0.3345989120549975,0.8516000133951575,0.4098383671757253
1244.8747129440308,mnist,0.984398590840463,"[2, 3, 6, 8]","[5, 0]",100.0,0.8707452363681123,0.026510836019085417,0.869165670505436,0.032472184920731256,0.8660307763436823,0.361041859717333,0.8630328933513519,0.43115619903182284
1293.4190242290497,mnist,0.9805327868852459,"[3, 5, 7, 8]","[2, 4]",100.0,0.8796374192727625,0.03165924111983521,0.8767804857808065,0.03593813663804626,0.8856201238284238,0.5555776222398878,0.885048867500437,0.5994842503189421
1254.8930518627167,mnist,0.9800204918032787,"[3, 5, 7, 8]","[2, 4]",100.0,0.8950683984576735,0.03416123268585532,0.8927083394666749,0.04079534503452449,0.898151860358662,0.6306665540567405,0.8986273825176997,0.6979813907830668
