train_time,dataset,test_acc,inside_labels,unknown_labels,nb_epochs,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold
682.9786238670349,mnist,0.9901744043232621,"[0, 1, 4, 8]","[7, 9]",100.0,0.7784195153088664,0.01637624074521689,0.7900108268673031,0.024569164629827903,0.7659411993239287,0.21743894756000756,0.7805753691765253,0.25966559729348726
657.3421154022217,mnist,0.9874723655121592,"[0, 1, 4, 8]","[7, 9]",100.0,0.8182713984188683,0.024569164629827903,0.8219913316913763,0.03165924111983521,0.7991269678051849,0.25966559729348726,0.8054212387966635,0.3180552015332913
664.6826870441437,mnist,0.9887005649717514,"[0, 1, 4, 8]","[7, 9]",100.0,0.8108007956194484,0.02719157943036019,0.8155908208762236,0.03416123268585532,0.7954248416307182,0.2066880249629082,0.7995577970906564,0.34319071974590426
1284.7101562023163,mnist,0.9835657370517928,"[2, 4, 7, 8]","[3, 6]",100.0,0.8801247120389,0.04184288507901576,0.8793480285393678,0.04514967772036102,0.875838020667413,0.45358288255101814,0.8761018848113357,0.4771760948938751
1300.7302985191345,mnist,0.9813247011952191,"[2, 4, 7, 8]","[3, 6]",100.0,0.8903908517223611,0.04514967772036102,0.8890717830245688,0.04514967772036102,0.8884033266077279,0.465229952396018,0.8864176341272522,0.465229952396018
1289.8449802398682,mnist,0.9815737051792829,"[2, 4, 7, 8]","[3, 6]",100.0,0.8873544103971692,0.04871780218794621,0.8873016750429248,0.05256791122018419,0.8833819378723697,0.528107971193432,0.8831044850197881,0.528107971193432
1271.618745803833,mnist,0.9823855057876195,"[2, 3, 6, 8]","[0, 5]",100.0,0.8544199774803635,0.03330600343624582,0.8535044993960111,0.03977403024058037,0.8547400446813131,0.28018665564591894,0.8510985832089023,0.32622220097116733
1274.882067680359,mnist,0.9828887770508304,"[2, 3, 6, 8]","[0, 5]",100.0,0.8540338757079725,0.03503842245290676,0.8482342064754538,0.04079534503452449,0.8505694072954997,0.3520031472796675,0.844562312521748,0.4203621683844718
1275.4433100223541,mnist,0.9828887770508304,"[2, 3, 6, 8]","[0, 5]",100.0,0.8799713234162435,0.044019351852088794,0.8770511687254049,0.04871780218794621,0.8775062564102682,0.39957803018952653,0.8743211805453291,0.4422273980505897
1267.4596242904663,mnist,0.9828381147540983,"[3, 5, 7, 8]","[2, 4]",100.0,0.8841664291327189,0.044019351852088794,0.8821558267706975,0.055302242561929116,0.8873238420131541,0.5148867450137488,0.8865306198574683,0.5148867450137488
1914.9202435016632,mnist,0.9836065573770492,"[3, 5, 7, 8]","[2, 4]",100.0,0.8887634372640785,0.04184288507901576,0.8873815281636703,0.04184288507901576,0.88956373814648,0.4422273980505897,0.8899765996539645,0.465229952396018
1907.7870616912842,mnist,0.9836065573770492,"[3, 5, 7, 8]","[2, 4]",100.0,0.8876089218912399,0.04514967772036102,0.8868186552725513,0.05125186927053333,0.8904338612623868,0.5416686911033157,0.8910990056187408,0.5416686911033157
649.7171676158905,mnist,0.9818992654774397,"[0, 4, 5, 6]","[1, 3]",100.0,0.8697191451270279,0.03165924111983521,0.8681904577231951,0.03165924111983521,0.8671847332355407,0.3703126675869931,0.8678645858113389,0.3703126675869931
652.2349076271057,mnist,0.9832109129066107,"[0, 4, 5, 6]","[1, 3]",100.0,0.8714842372044762,0.02934049709215781,0.8716612207212291,0.03877828414589461,0.8675618230557247,0.32622220097116733,0.8676935314618408,0.39957803018952653
648.1290059089661,mnist,0.9839979013641134,"[0, 4, 5, 6]","[1, 3]",100.0,0.8657436797820672,0.03593813663804626,0.8673516889873777,0.036860953621721544,0.8581468836705491,0.37982153061907364,0.8622102492153837,0.45358288255101814
642.4382531642914,mnist,0.9833206974981046,"[0, 3, 6, 9]","[1, 5]",100.0,0.7550050535539511,0.02934049709215781,0.781556164310024,0.044019351852088794,0.744452299811349,0.3345989120549975,0.76992757696144,0.4771760948938751
648.8755116462708,mnist,0.9845842810209755,"[0, 3, 6, 9]","[1, 5]",100.0,0.7793013706770292,0.01679674872092653,0.7892893528618056,0.030093900344497243,0.7686475566363666,0.21199534575360687,0.7785171536766828,0.3180552015332913
649.6753726005554,mnist,0.985342431134698,"[0, 3, 6, 9]","[1, 5]",100.0,0.7447488052788901,0.02860595535175739,0.7672670161103381,0.037807466635993416,0.7324255694256121,0.2947606255124859,0.7570573022561584,0.48942898961145315
660.1416990756989,mnist,0.9818449460255152,"[1, 6, 8, 9]","[3, 4]",100.0,0.8077260470741525,0.04184288507901576,0.8155976438714678,0.05391774640387494,0.8015965407993073,0.465229952396018,0.8123723598212667,0.5844761131633626
666.9478893280029,mnist,0.9833169774288518,"[1, 6, 8, 9]","[3, 4]",100.0,0.8204088052344034,0.037807466635993416,0.8234168969460788,0.04514967772036102,0.8130442272263907,0.37982153061907364,0.8170510999699397,0.5019965133110079
651.5519211292267,mnist,0.9830716388616291,"[1, 6, 8, 9]","[3, 4]",100.0,0.8118872968609487,0.03977403024058037,0.8233246884345811,0.05125186927053333,0.8089732956878777,0.45358288255101814,0.8194103238987238,0.5148867450137488
630.5404880046844,mnist,0.9820344129554656,"[0, 2, 4, 6]","[5, 9]",100.0,0.9034735172419421,0.049968774538548894,0.9026876452616226,0.056722289716445495,0.9057750975620928,0.5844761131633626,0.9051389138332692,0.6306665540567405
