train_time,dataset,test_acc,inside_labels,unknown_labels,max_epochs,bayesian_prediction_std_bal_acc,bayesian_prediction_std_f1_score,bayesian_prediction_std_auc,bayesian_entropy_bal_acc,bayesian_entropy_f1_score,bayesian_entropy_auc
11.981791734695435,mnist,0.9874723655121592,"[0, 1, 4, 8]","[7, 9]",100.0,0.6865837451969882,0.7322811910883078,0.734032775884777,0.6831667503136831,0.7310221108874725,0.7315129473429364
11.988057374954224,mnist,0.9862441660525669,"[0, 1, 4, 8]","[7, 9]",100.0,0.8018948101696153,0.8120889948412248,0.8630729903917691,0.798916680178718,0.8109079795184565,0.8605549290433955
12.039732456207275,mnist,0.9899287644313437,"[0, 1, 4, 8]","[7, 9]",100.0,0.725948333292304,0.7566058518271666,0.7781706417159145,0.7239166568373165,0.7558066676183951,0.7763018030674944
34.87740874290466,mnist,0.9823207171314741,"[2, 4, 7, 8]","[3, 6]",100.0,0.7820836757680438,0.7936694398017736,0.8546943637303375,0.7804526979873867,0.7945088196975225,0.855388518138601
34.84942579269409,mnist,0.9828187250996016,"[2, 4, 7, 8]","[3, 6]",100.0,0.8058551651455853,0.8146295082653061,0.8795289459691116,0.8068748987195118,0.8150016993300121,0.881036114506119
34.872807025909424,mnist,0.9810756972111554,"[2, 4, 7, 8]","[3, 6]",100.0,0.7922401043302048,0.8024686061548404,0.8643624890378725,0.7915388010747365,0.8029558968007895,0.8664618790773162
34.636364221572876,mnist,0.9864116758933065,"[2, 3, 6, 8]","[0, 5]",100.0,0.8630131718373615,0.8582765596428934,0.9259076328828769,0.865016434354475,0.8629410170989236,0.930524759031926
34.68289613723755,mnist,0.986160040261701,"[2, 3, 6, 8]","[0, 5]",100.0,0.8557894876117462,0.8557584313007736,0.9223058328824408,0.8601157259439919,0.8599091357846486,0.927709093217614
34.62092852592468,mnist,0.9871665827881227,"[2, 3, 6, 8]","[0, 5]",100.0,0.8612228539795919,0.8583894846701905,0.9269889270629822,0.8661068716882598,0.8636271953903614,0.9321522127822177
34.235188007354736,mnist,0.9820696721311475,"[3, 5, 7, 8]","[2, 4]",100.0,0.8082820941588069,0.8091086555768062,0.8765419366611513,0.8075789541894874,0.8102110294335478,0.8776469729660805
41.78828167915344,mnist,0.9841188524590164,"[3, 5, 7, 8]","[2, 4]",100.0,0.8254413834301747,0.8273679934954071,0.8942422525722684,0.8252173739647306,0.8277193297447747,0.8947674115067348
34.254899978637695,mnist,0.984375,"[3, 5, 7, 8]","[2, 4]",100.0,0.8009136746870549,0.8040663341114856,0.8641765113834428,0.7997048420259943,0.8030740087706483,0.8651480146243804
18.9118013381958,mnist,0.9824239244491081,"[0, 4, 5, 6]","[1, 3]",100.0,0.8085066826418315,0.8126099303976716,0.887234818824603,0.8073449734049211,0.8108911855732586,0.8852624488739753
26.181949138641357,mnist,0.9842602308499475,"[0, 4, 5, 6]","[1, 3]",100.0,0.8071170624408772,0.8154866378131205,0.8896389326284935,0.8048347883208564,0.8126839543063215,0.887090385127975
26.261940717697144,mnist,0.9866211962224554,"[0, 4, 5, 6]","[1, 3]",100.0,0.8532454519845882,0.8518693839375785,0.9234384290700781,0.8533321398105216,0.851411003292757,0.9227775443364732
19.412846326828003,mnist,0.9843315643164013,"[0, 3, 6, 9]","[1, 5]",100.0,0.7539448567998595,0.7745194591214318,0.8207449139504654,0.7537702247685598,0.7755297441432474,0.8222240869728062
27.023587703704834,mnist,0.9850897144301238,"[0, 3, 6, 9]","[1, 5]",100.0,0.7108830141584923,0.7454637543529917,0.7551233969857241,0.7085380831095052,0.7452558263528702,0.7554650931276159
11.326455354690552,mnist,0.979529946929492,"[0, 3, 6, 9]","[1, 5]",100.0,0.7410123060018037,0.7617188888490964,0.8056952440427826,0.7389154775677438,0.7617479591331221,0.8058421482128095
27.627987146377563,mnist,0.9877330716388616,"[1, 6, 8, 9]","[3, 4]",100.0,0.7443970811086706,0.7724436338639868,0.7984976382107206,0.7405700144095397,0.7694526255603861,0.795850421343407
19.842670917510986,mnist,0.9855250245338567,"[1, 6, 8, 9]","[3, 4]",100.0,0.7303901994502727,0.7603385816653959,0.7798953654721033,0.7232840984472956,0.7562113191259792,0.774241097679192
19.862679719924927,mnist,0.9855250245338567,"[1, 6, 8, 9]","[3, 4]",100.0,0.7332492097702038,0.7612612225124226,0.7839153739179396,0.7276591354629052,0.757518916343791,0.7786421546067246
19.429168462753296,mnist,0.9827935222672065,"[0, 2, 4, 6]","[5, 9]",100.0,0.8527109521369216,0.8539709583659022,0.912310488094901,0.852501608471465,0.8538305918450949,0.9116989172700817
19.321651697158813,mnist,0.9820344129554656,"[0, 2, 4, 6]","[5, 9]",100.0,0.8277507721375432,0.825091940012095,0.8918749432544282,0.8274425622564765,0.8262137836406042,0.8919933767544754
