train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,max_epochs,bayesian_prediction_std__bal_acc,bayesian_prediction_std__f1_score,bayesian_prediction_std__auc,bayesian_entropy__bal_acc,bayesian_entropy__f1_score,bayesian_entropy__auc
358.7682309150696,cifar,0.68775,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.5135000000000001,0.6667777962993833,0.51586996875,0.523125,0.6666666666666666,0.5283836249999999
279.37391424179077,cifar,0.643,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.59375,0.670753064798599,0.6259553124999999,0.6018749999999999,0.6744478362363081,0.6342766875
282.1962034702301,cifar,0.6815,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.60375,0.6673348367159442,0.630852625,0.620125,0.6744078030654901,0.6623005312500001
283.27091693878174,cifar,0.57625,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.595125,0.6677273488527885,0.62346175,0.633,0.6789577650268084,0.66961471875
283.2366318702698,cifar,0.62325,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.566875,0.6668896321070235,0.5801614687500001,0.56675,0.6666666666666666,0.5838329687499999
282.0468590259552,cifar,0.6245,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.5798749999999999,0.6703629905570475,0.61262171875,0.565375,0.6714903379511161,0.59634646875
281.7927989959717,cifar,0.25,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
282.06380248069763,cifar,0.61625,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.5976250000000001,0.6668889629876625,0.62422109375,0.59875,0.6666666666666666,0.6371248125
282.9024760723114,cifar,0.25,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
281.1550102233887,cifar,0.5845,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.582125,0.6679329994819547,0.6120179687499999,0.589375,0.6675621222296844,0.623951125
280.38509726524353,cifar,0.62875,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.564125,0.6680172195492529,0.590521875,0.559375,0.6666666666666666,0.58191215625
281.6881778240204,cifar,0.5605,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.520625,0.6667222268522377,0.52030665625,0.5185,0.6666666666666666,0.5024754687499999
280.88442850112915,cifar,0.64325,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.6148750000000001,0.6667222268522377,0.6418045312499999,0.636125,0.6916961976822142,0.6872665312500001
281.7743103504181,cifar,0.61075,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.592875,0.6667222268522377,0.59617784375,0.616125,0.6750649870025995,0.65624328125
282.3685402870178,cifar,0.631,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.595375,0.6667222268522377,0.6140617187499999,0.6248750000000001,0.6882484270347068,0.6766578125
282.7685396671295,cifar,0.71225,"[0, 3, 6, 9]","[1, 5]",100.0,100.0,0.575875,0.6668333750104193,0.595405125,0.57,0.6666666666666667,0.5920274375
282.3772077560425,cifar,0.73075,"[0, 3, 6, 9]","[1, 5]",100.0,100.0,0.57325,0.6667222268522377,0.5936431562500001,0.573,0.6666666666666667,0.5949770624999999
283.02131271362305,cifar,0.7125,"[0, 3, 6, 9]","[1, 5]",100.0,100.0,0.589375,0.6666666666666666,0.61182259375,0.5914999999999999,0.6670105751870002,0.6210038437500001
283.32636642456055,cifar,0.7225,"[1, 6, 8, 9]","[3, 4]",100.0,100.0,0.666875,0.666722254648545,0.67837128125,0.713125,0.7319981998199819,0.770195375
283.4489984512329,cifar,0.71975,"[1, 6, 8, 9]","[3, 4]",100.0,100.0,0.668,0.6670559773087511,0.68798903125,0.703,0.7295163979988882,0.7609800625
279.3150792121887,cifar,0.66875,"[1, 6, 8, 9]","[3, 4]",100.0,100.0,0.6775,0.6666666666666666,0.69238871875,0.717125,0.7308794862974429,0.77457165625
280.2800555229187,cifar,0.56625,"[0, 2, 4, 6]","[5, 9]",100.0,100.0,0.582875,0.6666666666666666,0.59408671875,0.6148750000000001,0.6828874305906109,0.6466492187499999
280.81147027015686,cifar,0.547,"[0, 2, 4, 6]","[5, 9]",100.0,100.0,0.5785,0.6666666666666666,0.5881519374999999,0.613875,0.6775485679951934,0.65014559375
279.9626121520996,cifar,0.25,"[0, 2, 4, 6]","[5, 9]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
278.0877981185913,cifar,0.618,"[2, 5, 7, 9]","[0, 8]",100.0,100.0,0.544125,0.6666666666666666,0.55861790625,0.544,0.6666666666666666,0.5588183437500001
281.00835514068604,cifar,0.25,"[2, 5, 7, 9]","[0, 8]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
277.94257497787476,cifar,0.60525,"[2, 5, 7, 9]","[0, 8]",100.0,100.0,0.5251250000000001,0.6666666666666667,0.5255263125,0.5271250000000001,0.6666666666666666,0.53005778125
279.5481436252594,cifar,0.74075,"[1, 2, 6, 8]","[4, 9]",100.0,100.0,0.603375,0.6675148430873622,0.62771971875,0.59475,0.6704514733711814,0.6286917812499999
279.43722105026245,cifar,0.25,"[1, 2, 6, 8]","[4, 9]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
280.18451833724976,cifar,0.656,"[1, 2, 6, 8]","[4, 9]",100.0,100.0,0.589,0.6685849695328369,0.6246813437500001,0.5796250000000001,0.6667222268522377,0.6169725312500001
281.07453179359436,cifar,0.25,"[0, 1, 6, 7]","[3, 9]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
281.0990779399872,cifar,0.25,"[0, 1, 6, 7]","[3, 9]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
278.9808597564697,cifar,0.73125,"[0, 1, 6, 7]","[3, 9]",100.0,100.0,0.6111249999999999,0.6667222407469157,0.632002125,0.6132500000000001,0.6688465031789282,0.65291615625
280.35232615470886,cifar,0.66125,"[2, 6, 7, 8]","[3, 5]",100.0,100.0,0.5625,0.6670014227131977,0.58298178125,0.552,0.6717909300538049,0.5753925
279.95828557014465,cifar,0.69925,"[2, 6, 7, 8]","[3, 5]",100.0,100.0,0.5445,0.6672250607253539,0.5616240937499999,0.5295000000000001,0.6666666666666666,0.53876084375
281.726003408432,cifar,0.25,"[2, 6, 7, 8]","[3, 5]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
279.3175377845764,cifar,0.6855,"[1, 5, 6, 7]","[4, 8]",100.0,100.0,0.6265000000000001,0.6666666666666666,0.6463736875,0.6387499999999999,0.6829636621047663,0.68816840625
280.73612904548645,cifar,0.6805,"[1, 5, 6, 7]","[4, 8]",100.0,100.0,0.6120000000000001,0.6668333750104193,0.6363415000000001,0.6240000000000001,0.6846673095467695,0.6711291875000001
279.1439781188965,cifar,0.7185,"[1, 5, 6, 7]","[4, 8]",100.0,100.0,0.609,0.6666666666666666,0.6236688125000001,0.6140000000000001,0.6666666666666666,0.6538944999999999
281.40369033813477,cifar,0.71725,"[0, 5, 6, 9]","[2, 3]",100.0,100.0,0.576875,0.6666666666666666,0.5934074375,0.5745,0.6666666666666666,0.5899287499999999
278.81991934776306,cifar,0.72575,"[0, 5, 6, 9]","[2, 3]",100.0,100.0,0.561625,0.6666666666666666,0.57000875,0.545625,0.6666666666666667,0.5573745
278.5525646209717,cifar,0.6895,"[0, 5, 6, 9]","[2, 3]",100.0,100.0,0.5566249999999999,0.6666666666666666,0.556109125,0.5467500000000001,0.6666666666666666,0.5450176875
280.9493074417114,cifar,0.62175,"[1, 3, 5, 7]","[2, 8]",100.0,100.0,0.598375,0.6666666666666666,0.6179680625,0.6116250000000001,0.6767349207819883,0.65490215625
280.3775632381439,cifar,0.60775,"[1, 3, 5, 7]","[2, 8]",100.0,100.0,0.5983750000000001,0.666946027489105,0.6128153125,0.6312500000000001,0.6774468085106383,0.67054928125
283.4484267234802,cifar,0.56525,"[1, 3, 5, 7]","[2, 8]",100.0,100.0,0.610375,0.6667777962993833,0.62932971875,0.63175,0.6791713902916624,0.67296215625
284.5339906215668,cifar,0.68125,"[0, 3, 7, 8]","[5, 6]",100.0,100.0,0.5965,0.6666666666666666,0.62561634375,0.604,0.6695486771571849,0.64461496875
288.57328629493713,cifar,0.68025,"[0, 3, 7, 8]","[5, 6]",100.0,100.0,0.5978749999999999,0.6666666666666666,0.6212040625,0.608875,0.6681359044995409,0.6475445
281.2965362071991,cifar,0.6875,"[0, 3, 7, 8]","[5, 6]",100.0,100.0,0.592625,0.6666666666666666,0.61601565625,0.604625,0.6666666666666666,0.63430815625
281.6549997329712,cifar,0.69925,"[3, 4, 8, 9]","[0, 7]",100.0,100.0,0.551125,0.6666666666666667,0.56079765625,0.5585,0.6666666666666666,0.5710371249999999
280.78022170066833,cifar,0.70675,"[3, 4, 8, 9]","[0, 7]",100.0,100.0,0.5468750000000001,0.6667777962993833,0.543388,0.5469999999999999,0.6666666666666666,0.55041109375
281.4642713069916,cifar,0.68375,"[3, 4, 8, 9]","[0, 7]",100.0,100.0,0.5529999999999999,0.6667222268522377,0.5579566875,0.55475,0.6667777962993833,0.56329284375
282.54894161224365,cifar,0.67475,"[4, 6, 8, 9]","[1, 2]",100.0,100.0,0.604875,0.6668891298907149,0.6347778437499999,0.62075,0.6725991842788284,0.66044040625
288.79471015930176,cifar,0.72175,"[4, 6, 8, 9]","[1, 2]",100.0,100.0,0.6083750000000001,0.6672845227062094,0.6404113124999999,0.615625,0.6724061418301235,0.6546173750000001
281.4248752593994,cifar,0.688,"[4, 6, 8, 9]","[1, 2]",100.0,100.0,0.6034999999999999,0.6704454875564608,0.6429918125,0.595125,0.6680710752885143,0.6343508437500001
281.663268327713,cifar,0.61675,"[2, 3, 7, 8]","[0, 9]",100.0,100.0,0.5285,0.6667778519012675,0.5173639375000001,0.5277499999999999,0.6667777962993833,0.5186778437499999
297.6932854652405,cifar,0.66425,"[2, 3, 7, 8]","[0, 9]",100.0,100.0,0.536875,0.6667222268522377,0.54229928125,0.5355,0.6666666666666667,0.5427311874999999
280.1024878025055,cifar,0.62875,"[2, 3, 7, 8]","[0, 9]",100.0,100.0,0.573,0.6666666666666666,0.5773210625,0.5726249999999999,0.6666666666666666,0.58069496875
281.107768535614,cifar,0.66425,"[3, 4, 7, 8]","[2, 9]",100.0,100.0,0.57725,0.6672226855713094,0.593025375,0.5795,0.6667778240933722,0.606299625
280.19468808174133,cifar,0.6135,"[3, 4, 7, 8]","[2, 9]",100.0,100.0,0.5566249999999999,0.6668890185941799,0.56484984375,0.571875,0.6668333750104193,0.6032873125
279.350709438324,cifar,0.66975,"[3, 4, 7, 8]","[2, 9]",100.0,100.0,0.57075,0.6668334167083542,0.5916511875,0.578625,0.6666666666666666,0.6139783437499999
