train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,max_epochs,bayesian_prediction_std__bal_acc,bayesian_prediction_std__f1_score,bayesian_prediction_std__auc,bayesian_entropy__bal_acc,bayesian_entropy__f1_score,bayesian_entropy__auc
64.04762721061707,cifar,0.71625,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.598,0.6666666666666666,0.615041375,0.6172500000000001,0.6788245299064537,0.6565800937499999
54.22979164123535,cifar,0.745,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.573625,0.6667222268522377,0.584000375,0.5858749999999999,0.6681485597851257,0.62173484375
65.403737783432,cifar,0.73825,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.58325,0.6667222268522377,0.59613765625,0.5935,0.6696807529064404,0.63312375
55.180283069610596,cifar,0.6755,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.598125,0.6666666666666666,0.626462625,0.583875,0.6696080095027999,0.62134625
54.62025809288025,cifar,0.65725,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.574,0.6666666666666666,0.586343625,0.569875,0.6678990664571588,0.59229440625
54.59596300125122,cifar,0.67525,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.5842499999999999,0.6666666666666666,0.6090605,0.56675,0.6677926026009119,0.60257815625
54.824941873550415,cifar,0.66275,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.6035,0.6666666666666666,0.634315875,0.602875,0.6679016503873358,0.64073875
54.908355474472046,cifar,0.66375,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.59925,0.6667222268522377,0.62347759375,0.6016250000000001,0.6694736842105263,0.64501759375
54.32311701774597,cifar,0.665,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.599,0.6666666666666666,0.6263103437499999,0.606625,0.6666666666666666,0.63909559375
54.03280186653137,cifar,0.636,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.5898749999999999,0.6666666666666666,0.60788784375,0.597375,0.6733641053489003,0.6398985625
54.23733878135681,cifar,0.6255,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.5820000000000001,0.6666666666666666,0.5970723437500001,0.5832499999999999,0.6667222824726787,0.6183991562500001
53.89757490158081,cifar,0.641,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.5658749999999999,0.6666666666666666,0.5867749375,0.56925,0.6673860264364715,0.6040039374999999
54.46295785903931,cifar,0.68725,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.6227499999999999,0.6668334167083542,0.6436006875,0.63025,0.6867270425552634,0.67944078125
