train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,max_epochs,bayesian_prediction_std__bal_acc,bayesian_prediction_std__f1_score,bayesian_prediction_std__auc,bayesian_entropy__bal_acc,bayesian_entropy__f1_score,bayesian_entropy__auc
147.75531911849976,cifar,0.7355,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.53725,0.6666666666666666,0.5,0.6348750000000001,0.6844223031232037,0.67791884375
57.01401138305664,cifar,0.722,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.5395000000000001,0.6666666666666666,0.5,0.63625,0.6839533260197467,0.6864308125
59.188427448272705,cifar,0.744,"[0, 1, 4, 8]","[7, 9]",100.0,100.0,0.5286249999999999,0.6666666666666666,0.5,0.597,0.6735071177666851,0.634636875
56.72337079048157,cifar,0.67325,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.5338750000000001,0.6666666666666666,0.5,0.560625,0.6666666666666666,0.5906446249999999
55.50939655303955,cifar,0.66325,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.5365,0.6666666666666666,0.5,0.5820000000000001,0.6738858063361374,0.6193931562499999
55.151416540145874,cifar,0.681,"[2, 4, 7, 8]","[3, 6]",100.0,100.0,0.5395,0.6666666666666666,0.5,0.565375,0.6705202312138728,0.6029651874999999
55.45635986328125,cifar,0.661,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.5225,0.6666666666666666,0.5,0.6051249999999999,0.6700561009817673,0.6462776875
55.150508403778076,cifar,0.66625,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.51375,0.6666666666666666,0.5,0.587,0.6677407805227354,0.6229453437500001
55.7060809135437,cifar,0.25,"[2, 3, 6, 8]","[0, 5]",100.0,100.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
55.49726843833923,cifar,0.6425,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.53,0.6667222268522377,0.5,0.583,0.6723745331997449,0.623699625
55.06309175491333,cifar,0.63675,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.520875,0.6666666666666666,0.499875,0.567625,0.6667223103246808,0.5985689999999999
56.40452432632446,cifar,0.63175,"[3, 5, 7, 8]","[2, 4]",100.0,100.0,0.5271250000000001,0.6666666666666666,0.5,0.56575,0.6666666666666666,0.5945949375
54.90376615524292,cifar,0.6985,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.52325,0.6666666666666666,0.5,0.6196250000000001,0.6904130352406214,0.67172396875
55.30681753158569,cifar,0.6775,"[0, 4, 5, 6]","[1, 3]",100.0,100.0,0.523375,0.6666666666666666,0.5,0.601,0.6735401630893242,0.64496228125
