experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,319.26538658142084,cifar10,0.92525,"[0, 1, 4, 8]","[7, 9]",100.0,0.65075,0.6667222407469157,0.671026,0.7228749999999999,0.7433686278790524,0.79554071875,0.7340000000000001,0.7468163177206992,0.8032642812500002,0.7286249999999999,0.7457627118644068,0.7992285937499999
1.2,319.3790636062622,cifar10,0.92575,"[0, 1, 4, 8]","[7, 9]",100.0,0.662125,0.6666666666666666,0.6901355625000001,0.702625,0.7308907138344914,0.7687516875,0.710625,0.7334343871805976,0.7745505625,0.704875,0.7313336210617177,0.77137021875
1.3,308.0110604763031,cifar10,0.9235,"[0, 1, 4, 8]","[7, 9]",100.0,0.656875,0.6666666666666667,0.680570875,0.7393749999999999,0.7577543079488605,0.8085083124999999,0.74425,0.7612464589235128,0.81389775,0.741875,0.7577612106375877,0.8109704375
1.4,306.25788593292236,cifar10,0.921,"[0, 1, 4, 8]","[7, 9]",100.0,0.661,0.6666666666666666,0.69659315625,0.755875,0.7681192660550459,0.8300100312500001,0.76125,0.7669902912621359,0.8336794999999999,0.75875,0.7658066659284686,0.8318356250000001
1.5,306.8270881175995,cifar10,0.92225,"[0, 1, 4, 8]","[7, 9]",100.0,0.67725,0.6667222268522377,0.710723,0.7445,0.7597402597402597,0.8181646249999999,0.75725,0.7615480649188514,0.8225046250000001,0.751125,0.761006986802706,0.8202565625
2.1,306.7946355342865,cifar10,0.87075,"[2, 4, 7, 8]","[3, 6]",100.0,0.626875,0.6729510343021733,0.66797321875,0.6859999999999999,0.7120376047414674,0.7514124375,0.675125,0.7075870396458039,0.74001865625,0.68475,0.709684123025769,0.74972065625
2.2,306.7129147052765,cifar10,0.873,"[2, 4, 7, 8]","[3, 6]",100.0,0.604875,0.6670003336670003,0.6392266875000001,0.6733750000000001,0.7091681845780207,0.73584671875,0.667125,0.7030423940149626,0.7273219999999999,0.672,0.7054759727725286,0.73253734375
2.3,306.44267082214355,cifar10,0.86625,"[2, 4, 7, 8]","[3, 6]",100.0,0.6142500000000001,0.666944977874259,0.6472269374999999,0.666125,0.7044025157232704,0.7269379374999999,0.6635000000000001,0.7011048074051955,0.72210940625,0.666,0.7042880650469461,0.7261705937499999
2.4,307.40668845176697,cifar10,0.88275,"[2, 4, 7, 8]","[3, 6]",100.0,0.6187499999999999,0.6726364732219735,0.6648225624999999,0.709625,0.7256298501116191,0.7751495625,0.69625,0.7142708224747212,0.76335565625,0.7084999999999999,0.7239430724152366,0.7730883749999999
2.5,307.86190366744995,cifar10,0.88475,"[2, 4, 7, 8]","[3, 6]",100.0,0.62475,0.6670007516913053,0.65378809375,0.6777500000000001,0.7136765470618823,0.745413375,0.672375,0.708540168169385,0.7379923125,0.676375,0.711030814011844,0.7432016249999999
3.1,305.7820255756378,cifar10,0.84825,"[2, 3, 6, 8]","[0, 5]",100.0,0.6399999999999999,0.6666666666666666,0.6275596875,0.741625,0.7472503055216086,0.8191048125000001,0.747125,0.7494494739417665,0.82306671875,0.7455,0.7482177209460223,0.8220205
3.2,307.393673658371,cifar10,0.853,"[2, 3, 6, 8]","[0, 5]",100.0,0.649,0.6666666666666666,0.649818,0.7561249999999999,0.7567955933421149,0.83313715625,0.756875,0.7583651730925091,0.8329964375,0.757125,0.7578226473019247,0.834388875
3.3,307.23945212364197,cifar10,0.856,"[2, 3, 6, 8]","[0, 5]",100.0,0.63575,0.6666666666666666,0.6358845,0.7490000000000001,0.7558782849239282,0.8283344375,0.75425,0.7557487701635969,0.8299889374999999,0.751375,0.7565187944463257,0.830071625
3.4,306.39700865745544,cifar10,0.8475,"[2, 3, 6, 8]","[0, 5]",100.0,0.6311249999999999,0.6666666666666666,0.63297228125,0.746,0.7464720194647203,0.8234945625,0.748,0.7487388902233966,0.8241338125000001,0.74925,0.7477823064013427,0.824645125
3.5,307.1240713596344,cifar10,0.85525,"[2, 3, 6, 8]","[0, 5]",100.0,0.648625,0.6666666666666666,0.6536717499999999,0.742375,0.7464989318775223,0.81800615625,0.745125,0.7482298316889148,0.8191878125,0.7442500000000001,0.7489057820778623,0.8200283125000001
4.1,308.00476932525635,cifar10,0.83425,"[3, 5, 7, 8]","[2, 4]",100.0,0.60475,0.6722747376636893,0.6367728749999999,0.6699999999999999,0.6990150336962156,0.73161734375,0.665125,0.6928622195146716,0.7238619374999999,0.6688750000000001,0.6994840041279671,0.7307993125
4.2,307.48453545570374,cifar10,0.822,"[3, 5, 7, 8]","[2, 4]",100.0,0.57725,0.6677389316854314,0.58735890625,0.6378750000000001,0.6970556588085689,0.68925734375,0.633,0.6937319189971071,0.6854341875000001,0.636,0.694613086633902,0.68825621875
4.3,307.5839693546295,cifar10,0.827,"[3, 5, 7, 8]","[2, 4]",100.0,0.5995,0.6690939881456393,0.6194222500000001,0.663,0.6977604673807206,0.7272351875,0.6646249999999999,0.6958586626139818,0.7238950312500001,0.662875,0.6965816080885892,0.72655078125
4.4,307.40132784843445,cifar10,0.823,"[3, 5, 7, 8]","[2, 4]",100.0,0.5985,0.6667777962993833,0.61442059375,0.663875,0.6972092580245738,0.72296175,0.6603749999999999,0.6935696775410144,0.7191916875,0.662625,0.6964710358603633,0.72251075
4.5,307.58552384376526,cifar10,0.8305,"[3, 5, 7, 8]","[2, 4]",100.0,0.5903750000000001,0.6685888738127543,0.60234528125,0.67025,0.7077704418486541,0.7288635,0.6635,0.7030075187969924,0.7238159687500001,0.670625,0.7050096534904989,0.7276251562499999
5.1,307.4166147708893,cifar10,0.8945,"[0, 4, 5, 6]","[1, 3]",100.0,0.584875,0.6677827069557211,0.608967125,0.7010000000000001,0.7252613417233331,0.77469840625,0.6950000000000001,0.7239562221321444,0.76911728125,0.699125,0.7243143675808432,0.7732771875
5.2,308.3612196445465,cifar10,0.88875,"[0, 4, 5, 6]","[1, 3]",100.0,0.616125,0.6667777962993833,0.6383386875,0.7048749999999999,0.7283706402915149,0.77743403125,0.6995,0.7278330019880715,0.7738428124999999,0.70375,0.7272156534477348,0.7770035624999999
5.3,307.8617868423462,cifar10,0.88775,"[0, 4, 5, 6]","[1, 3]",100.0,0.6135,0.6670025188916876,0.6411077500000001,0.69175,0.7193993005554413,0.7586864375,0.68625,0.7177180247418465,0.7559640624999999,0.6901250000000001,0.7180807248764416,0.75779653125
5.4,307.4297385215759,cifar10,0.89575,"[0, 4, 5, 6]","[1, 3]",100.0,0.613875,0.6677611682364123,0.648177125,0.704,0.7187030277002362,0.77092990625,0.6975,0.7168225281075968,0.7668868125000001,0.703125,0.7181991930346145,0.7704676874999999
5.5,308.00928139686584,cifar10,0.89525,"[0, 4, 5, 6]","[1, 3]",100.0,0.6091249999999999,0.6670565627872002,0.6330385,0.7086250000000001,0.7313327270890169,0.78251909375,0.7020000000000001,0.7295224460578792,0.77880325,0.708125,0.7299672935404744,0.7822370000000001
6.1,308.1214168071747,cifar10,0.888,"[0, 3, 6, 9]","[1, 5]",100.0,0.6363749999999999,0.6667222824726787,0.6613889375,0.698625,0.7124906025131565,0.75816678125,0.6970000000000001,0.7104563579973415,0.7558933749999999,0.699125,0.7146428959669531,0.75722321875
6.2,308.08919858932495,cifar10,0.90025,"[0, 3, 6, 9]","[1, 5]",100.0,0.68175,0.6688657161098106,0.71354071875,0.7241249999999999,0.7304996608636671,0.7849131874999999,0.7222500000000001,0.7287458379578247,0.7822001875,0.724,0.7309507754551584,0.7848368125
6.3,308.0835192203522,cifar10,0.8945,"[0, 3, 6, 9]","[1, 5]",100.0,0.68925,0.6790904048807542,0.7263135937499999,0.7165,0.7198577619735526,0.7789738124999999,0.71475,0.7177400604510578,0.7770028125,0.7158749999999999,0.7207631874298541,0.7773448437500001
6.4,307.8258111476898,cifar10,0.87575,"[0, 3, 6, 9]","[1, 5]",100.0,0.65375,0.667915212394654,0.68327840625,0.6916249999999999,0.7076514816452898,0.7550430625,0.6901250000000001,0.7038013623379478,0.751435,0.6921250000000001,0.708903388760261,0.7546486875
6.5,308.2895755767822,cifar10,0.89975,"[0, 3, 6, 9]","[1, 5]",100.0,0.6627500000000001,0.6672903555026365,0.70061375,0.712375,0.7191195410373492,0.7723595000000001,0.707125,0.716672272676309,0.768968375,0.71225,0.7206380421719655,0.7698978750000001
