train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,max_epochs,bayesian_prediction_std__bal_acc,bayesian_prediction_std__f1_score,bayesian_prediction_std__auc,bayesian_entropy__bal_acc,bayesian_entropy__f1_score,bayesian_entropy__auc
11.324150562286377,mnist,0.9916482436747728,"[0, 1, 4, 8]","[7, 9]",3.0,100.0,0.5500495647431222,0.6666666666666666,0.5,0.8252123224567239,0.8271978069942071,0.8964097697523632
14.48607349395752,mnist,0.9921395234586097,"[0, 1, 4, 8]","[7, 9]",4.0,100.0,0.55875892939406,0.6666666666666666,0.5,0.8166065654560974,0.817308616870822,0.8945443708197985
8.06985330581665,mnist,0.9918938835666913,"[0, 1, 4, 8]","[7, 9]",2.0,100.0,0.531913720855159,0.6667216767059988,0.5,0.7910563312837895,0.804304935745071,0.8591391546200875
116.57611036300659,mnist,0.9910358565737052,"[2, 4, 7, 8]","[3, 6]",37.0,100.0,0.7456908260351689,0.7868300326737632,0.5008715139442231,0.7788151947065729,0.7954338008524131,0.7724785308467326
132.60200905799866,mnist,0.9907868525896414,"[2, 4, 7, 8]","[3, 6]",42.0,100.0,0.7369381996209508,0.7831326837698714,0.5017430278884463,0.798599848509379,0.8124543044267863,0.760566176528944
77.18860840797424,mnist,0.9902888446215139,"[2, 4, 7, 8]","[3, 6]",24.0,100.0,0.8122165035025488,0.8256799922930437,0.5,0.8183791639831517,0.8278225499263969,0.8496912809419692
107.59907078742981,mnist,0.9909411172622044,"[2, 3, 6, 8]","[0, 5]",34.0,100.0,0.816148655775356,0.8278343664936275,0.5,0.8318583400083236,0.8355511210174973,0.8533126310425566
76.4523503780365,mnist,0.9911927528938098,"[2, 3, 6, 8]","[0, 5]",24.0,100.0,0.8660076410289953,0.8587990642697733,0.5,0.8732526360236177,0.8739843718299549,0.9259159016030777
65.7478837966919,mnist,0.9901862103673881,"[2, 3, 6, 8]","[0, 5]",20.0,100.0,0.8487051743262515,0.8401601276131453,0.5,0.8614598746575532,0.8628915361787594,0.918800077247414
254.37125492095947,mnist,0.9900102459016393,"[3, 5, 7, 8]","[2, 4]",83.0,100.0,0.6950969440296981,0.7622141293074978,0.5006068600854611,0.7762127630919711,0.8106182243690415,0.7114741736512156
