experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,55.845621824264526,mnist,0.9970523212969786,"[0, 1, 4, 8]","[7, 9]",100.0,0.7765733614079766,0.8009646053460138,0.8565459559923384,0.7771753490800024,0.8017175453822327,0.8569756680180648,0.7767759026943309,0.8010959539586923,0.8569242300653634,0.7748270626124338,0.7995421252039453,0.8562731770578904
1.2,56.35905480384827,mnist,0.9960697617293048,"[0, 1, 4, 8]","[7, 9]",100.0,0.7640895159658306,0.7932610879681493,0.8270010688995915,0.7638500489537504,0.7937167413170195,0.8275622474964548,0.7640681698595633,0.7937555578963561,0.8269097744228031,0.756045695051478,0.7927477885187217,0.8252178760202702
1.3,55.9240198135376,mnist,0.9963154016212233,"[0, 1, 4, 8]","[7, 9]",100.0,0.825309681403835,0.8355818698495461,0.9037715506087602,0.8260164960255452,0.8364206546381282,0.9039303771216104,0.8262392189013623,0.8365815884655252,0.902679898401523,0.806185307880486,0.8284529890953867,0.9035767175290191
1.4,55.796889781951904,mnist,0.995087202161631,"[0, 1, 4, 8]","[7, 9]",100.0,0.8090467339438658,0.8249104972511558,0.9011459744721331,0.8077571755388415,0.8241495875428131,0.9003131214367385,0.8067096971653065,0.8224620652266444,0.8974336059103027,0.7992174954096545,0.8221325378254788,0.8994438831501385
1.5,55.69772672653198,mnist,0.9943502824858758,"[0, 1, 4, 8]","[7, 9]",100.0,0.769983393166525,0.7905482489821652,0.8430319435366539,0.7705021429815717,0.791086587912091,0.8437256300865194,0.7703194768853417,0.7912759650449164,0.8439580791414872,0.7610378383078032,0.7896509857480158,0.8429856493792229
2.1,55.10824012756348,mnist,0.9907868525896414,"[2, 4, 7, 8]","[3, 6]",100.0,0.8443080885337844,0.8508515783499399,0.9193005740980302,0.8444643056287111,0.8510598292255879,0.9197695646696085,0.8444274353831034,0.8512719390801551,0.9200757354049935,0.8439195383853086,0.8507068513735803,0.9199886212123618
2.2,54.7285430431366,mnist,0.9927788844621513,"[2, 4, 7, 8]","[3, 6]",100.0,0.8299234615938516,0.8390616364970747,0.9084275448008762,0.8304675578973189,0.8387443397479291,0.9085963169235409,0.8306971129435501,0.8381683210932569,0.9081309225250392,0.8284372511298808,0.8382184574951999,0.9086480894152473
2.3,54.63370060920715,mnist,0.9922808764940239,"[2, 4, 7, 8]","[3, 6]",100.0,0.8334102851879706,0.8424595718875413,0.9035276969810003,0.834007269739022,0.8422629883590184,0.9037841413231535,0.833920558835111,0.8425711307774865,0.9028147246670688,0.8310783592321496,0.841949333802732,0.9037422273059157
2.4,54.61721396446228,mnist,0.9920318725099602,"[2, 4, 7, 8]","[3, 6]",100.0,0.8409467811174192,0.8477280207512196,0.920273834939128,0.8429623982165961,0.8478443368178349,0.9210702942711226,0.8435147640842517,0.8488558493449053,0.9216235778995573,0.8384093761656548,0.845956369711213,0.9212244026880525
2.5,55.17661714553833,mnist,0.9915338645418327,"[2, 4, 7, 8]","[3, 6]",100.0,0.832538773040777,0.8366454533654345,0.9111278367605276,0.8322680369433486,0.8364491050948248,0.9113598519269536,0.8332077355362062,0.8380078916514947,0.9110068069356041,0.8321543275135597,0.8363177843408259,0.9115201916437834
3.1,54.707009077072144,mnist,0.9924509310518369,"[2, 3, 6, 8]","[0, 5]",100.0,0.8978916816590101,0.8959106220743435,0.9562078885892631,0.8982308976621585,0.895878762771596,0.9557796718632594,0.8984232833581689,0.8969220780065366,0.9533924650817701,0.8959471267450133,0.893329322008868,0.9555975177120228
3.2,54.56079149246216,mnist,0.9929542023150478,"[2, 3, 6, 8]","[0, 5]",100.0,0.8769548382260388,0.877270828079757,0.9451665726112364,0.8778358386699222,0.8768534478218853,0.9450964247871153,0.8791785609467506,0.8784841946229894,0.943551839968946,0.8741997567663682,0.8755191342063656,0.9449150278446881
3.3,55.05143761634827,mnist,0.9932058379466533,"[2, 3, 6, 8]","[0, 5]",100.0,0.8868959499486795,0.8862499125918599,0.9488599948776338,0.8841793676549908,0.8840656784978591,0.9473874357614336,0.8833295993318585,0.8811444262491038,0.9425164629310547,0.88404324515491,0.8840798777618342,0.94708894404869
3.4,54.842188119888306,mnist,0.9921992954202316,"[2, 3, 6, 8]","[0, 5]",100.0,0.8601616926928619,0.8589398945567291,0.9348959740479704,0.8614360448068945,0.8601114391434039,0.9356109608943448,0.862752233011898,0.864068499721487,0.9357261777868131,0.8453512851659652,0.8553423470655321,0.9353592041093297
3.5,54.8258011341095,mnist,0.9932058379466533,"[2, 3, 6, 8]","[0, 5]",100.0,0.8741247163938014,0.8751120860306426,0.9419162083635106,0.8738205296139597,0.8760459605226634,0.941610356581138,0.8728162486361408,0.8736339423612637,0.939769067063016,0.8733676729846522,0.8736130591010851,0.9414388942182927
4.1,53.879340410232544,mnist,0.9894979508196722,"[3, 5, 7, 8]","[2, 4]",100.0,0.8798140165501971,0.8801340418507131,0.9406852467550462,0.8801075798020174,0.8810124980808889,0.939624480927864,0.8755407124966175,0.8764941643483202,0.9346333689086835,0.8798259808886562,0.8800694360560435,0.939436982433876
4.2,53.89888834953308,mnist,0.9918032786885246,"[3, 5, 7, 8]","[2, 4]",100.0,0.8920155179986464,0.8904615434755323,0.9504053305796741,0.8940786769101159,0.8923324986497021,0.9512481325451201,0.8954621126168936,0.8953116236249852,0.9503454038521779,0.8933037763747406,0.8928639085352605,0.951205744582373
4.3,54.196497440338135,mnist,0.9905225409836066,"[3, 5, 7, 8]","[2, 4]",100.0,0.8853564866444439,0.8850122644044917,0.9463338898884347,0.8860624040266134,0.885171855783551,0.9453211595689994,0.8837395257199703,0.8822831770382603,0.9409425551802797,0.8854239448872081,0.8861065066045486,0.9450546581955166
4.4,54.42237710952759,mnist,0.9912909836065574,"[3, 5, 7, 8]","[2, 4]",100.0,0.8850774971362717,0.8855202539356408,0.9438576296575931,0.8849904052872446,0.8852266613949014,0.9420758292102072,0.8808840062732783,0.8799377148606592,0.9344875994971928,0.8855489597956312,0.884988952758426,0.9437132721323525
4.5,54.00973343849182,mnist,0.9905225409836066,"[3, 5, 7, 8]","[2, 4]",100.0,0.8782849195451006,0.875983700742597,0.9421240215942039,0.878980155485446,0.8760314927538143,0.9416032238194875,0.8773015839911031,0.8751407990054613,0.9377498724909841,0.8770830179078812,0.8752899518648847,0.941482554607995
5.1,52.940572023391724,mnist,0.9934417628541448,"[0, 4, 5, 6]","[1, 3]",100.0,0.863461091301809,0.8686547522975862,0.9315462464238711,0.8631967491270844,0.8686558707101585,0.9307960152391175,0.862798942737306,0.8666146078991221,0.9265218549075924,0.8616828838057118,0.867805827451539,0.9307278212520753
5.2,53.05976939201355,mnist,0.9926547743966422,"[0, 4, 5, 6]","[1, 3]",100.0,0.84533163899429,0.8555283165128678,0.9131001297956723,0.8450733948900244,0.8552155515227122,0.9124105010694323,0.8407540606666122,0.8509811314738585,0.9077783060847204,0.8375586776100632,0.851887677589505,0.9108464839803174
5.3,53.46876072883606,mnist,0.9944910807974816,"[0, 4, 5, 6]","[1, 3]",100.0,0.8341897087615091,0.8442928359001219,0.9005730046802746,0.83327321109317,0.8431694376987308,0.899775926627163,0.8323688454677964,0.8418471309726983,0.8968154900403038,0.8342423231587637,0.8439092141173135,0.9001913194959017
5.4,53.02214288711548,mnist,0.9939664218258132,"[0, 4, 5, 6]","[1, 3]",100.0,0.8848228392308215,0.8882840570159073,0.9474610100392451,0.884098654910183,0.8877029895118629,0.9465511621008058,0.8822795713419794,0.884987331437132,0.9413966439993574,0.872744164706941,0.8809696589671849,0.9462109707839053
5.5,52.93684267997742,mnist,0.9929171038824763,"[0, 4, 5, 6]","[1, 3]",100.0,0.8652393222704711,0.872718192411445,0.9366056757641296,0.864076416448839,0.8716002119435966,0.935761977939667,0.8627092085782464,0.8681813594878629,0.931553091776519,0.843936266685517,0.8590155576983833,0.9353866190290681
6.1,54.86532664299011,mnist,0.994187515794794,"[0, 3, 6, 9]","[1, 5]",100.0,0.7720521464865893,0.7969769170306742,0.8445823415964647,0.7722990401520835,0.7977793830182246,0.8447915439581074,0.7719336927906189,0.7977909880891789,0.8437859001195118,0.7292042649630384,0.7802168033454998,0.8443138300978548
