experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,57.1204149723053,mnist,0.9941046425939573,"[0, 1, 4, 8]","[7, 9]",100.0,0.8533559288465824,0.8579714652189725,0.910736596531807,0.8544582892356867,0.8609005075891094,0.9120754664822727,0.8524728632831964,0.8561855144043502,0.9077395941968397,0.8510056008028943,0.8591185251488315,0.9110173278368568
1.2,55.792845249176025,mnist,0.9941046425939573,"[0, 1, 4, 8]","[7, 9]",100.0,0.8544607068241343,0.8578462476873988,0.9242233437168573,0.8563444674408136,0.8594717173425382,0.9242250477962718,0.855831959691347,0.8587450850838003,0.9207218707611025,0.8527258933290398,0.8581544712002243,0.923191397403185
1.3,55.819130659103394,mnist,0.9945959223777942,"[0, 1, 4, 8]","[7, 9]",100.0,0.8731537704441736,0.8765721980330516,0.9277274043487602,0.8752042309265086,0.8783084465387908,0.9291955003215031,0.8697495110971305,0.8715443708026692,0.9243973491593082,0.8746462646655737,0.8773692195511873,0.9283893129732449
1.4,55.84598088264465,mnist,0.9941046425939573,"[0, 1, 4, 8]","[7, 9]",100.0,0.8593492688038042,0.8632956712403914,0.9199461043860985,0.8612136719270946,0.8654501008563155,0.9202599390116288,0.8597061603226205,0.8627908367910759,0.9159029550756701,0.8603116905814583,0.8645341245596123,0.9208807288309789
1.5,56.39915132522583,mnist,0.9945959223777942,"[0, 1, 4, 8]","[7, 9]",100.0,0.829190845954286,0.8342886604145553,0.890538679699466,0.8307333176954631,0.8386273594115394,0.8919355514640819,0.8280432703876788,0.8327475428576262,0.8861040970360884,0.8204246091272451,0.8340962242134026,0.8904009963941679
2.1,54.91533827781677,mnist,0.9902888446215139,"[2, 4, 7, 8]","[3, 6]",100.0,0.8882054362784233,0.8847629912389571,0.9443430213409311,0.9082990290297641,0.9082790219660836,0.9635943278678115,0.9109210744742258,0.908238171251278,0.9617993414787066,0.9099543279054239,0.9071617646827786,0.9630155920144123
2.2,54.78029274940491,mnist,0.9907868525896414,"[2, 4, 7, 8]","[3, 6]",100.0,0.8979902704575036,0.8970008871368438,0.9557283812955351,0.9214915414335523,0.9200262662837967,0.9704361091490611,0.9232816514747868,0.9225681405179579,0.9700462963881525,0.9213891754441782,0.9198087669826354,0.9703334632089171
2.3,55.432950258255005,mnist,0.9905378486055777,"[2, 4, 7, 8]","[3, 6]",100.0,0.8852646473965557,0.8810459406171626,0.9462996495095316,0.9146969656435043,0.9132869035749395,0.967376354889208,0.9141515192405087,0.9122006971645025,0.9664717623529786,0.9141315172084898,0.9127444284743383,0.9672397313137886
2.4,55.44775605201721,mnist,0.9915338645418327,"[2, 4, 7, 8]","[3, 6]",100.0,0.8840023447647992,0.8791105782033576,0.9447897528412248,0.9117308974651595,0.9111507167125752,0.964225456242758,0.9083905682267519,0.907222776640048,0.961657850669037,0.9087569671614707,0.9075690029548756,0.9633806035816891
2.5,55.44352626800537,mnist,0.9900398406374502,"[2, 4, 7, 8]","[3, 6]",100.0,0.882890431201526,0.8788526308994873,0.9454961528388439,0.9076868634782583,0.9065089941321492,0.9632519473897241,0.9059292053755867,0.9049347446383866,0.9599069484016126,0.9074082432166196,0.9066194458216239,0.9624348720655227
3.1,54.47240686416626,mnist,0.9932058379466533,"[2, 3, 6, 8]","[0, 5]",100.0,0.8916686446559108,0.8889911795891066,0.9476052695917785,0.8926846574095293,0.8908782306383889,0.9456295300774243,0.8890418197473879,0.8872094735601289,0.9396389483011748,0.8922838554307684,0.8895213692895603,0.9465999688878044
