experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,160.7814166545868,mnist,0.9963154016212233,"[0, 1, 4, 8]","[7, 9]",100.0,0.7160792009381377,0.7731277329547319,0.8328047531445314,0.7688364582732677,0.792251849646465,0.8755257084994179,0.7688364582732677,0.792251849646465,0.8755260871837325,0.6788937417070979,0.7533710022885187,0.8548000950750085
1.2,170.18675994873047,mnist,0.995087202161631,"[0, 1, 4, 8]","[7, 9]",100.0,0.7300696702782642,0.7801100867460903,0.8495535185705527,0.7784389877808572,0.7981197033743515,0.8861915731127068,0.7784389877808572,0.7981197033743515,0.8861920149110734,0.6965541573680364,0.7632791243330875,0.8754085372611481
1.3,172.59464049339294,mnist,0.995087202161631,"[0, 1, 4, 8]","[7, 9]",100.0,0.7194802598766246,0.7744518758035173,0.8412850096804333,0.7756630224191048,0.7981174454947867,0.8792544236008183,0.7756630224191048,0.7981174454947867,0.8792539818024515,0.6734674597570653,0.7506325507271594,0.8627010592810097
1.4,180.2197813987732,mnist,0.9975436010808155,"[0, 1, 4, 8]","[7, 9]",100.0,0.6816858201010726,0.7536431130721029,0.793267081250254,0.7368851119061199,0.7762048782929073,0.851002175415158,0.7368851119061199,0.7762048782929073,0.8510024909854199,0.6578592542810692,0.7417017811700659,0.8161286951068686
1.5,159.05001711845398,mnist,0.9928764431343651,"[0, 1, 4, 8]","[7, 9]",100.0,0.6967871965515235,0.7619005319889771,0.8158380233385668,0.7518116902596976,0.7840083980563407,0.8653203555694238,0.7518116902596976,0.7840083980563407,0.8653205133545547,0.6440255759080964,0.7342906625292035,0.8386993531819453
2.1,179.95130443572998,mnist,0.9920318725099602,"[2, 4, 7, 8]","[3, 6]",100.0,0.7746470810968367,0.8047663786619991,0.8830965046685767,0.8126050881109337,0.8204154197902582,0.9046897569086205,0.8126050881109337,0.8204154197902582,0.9046897569086203,0.715232966762057,0.772581406627306,0.899445823528595
2.2,177.20091104507446,mnist,0.9900398406374502,"[2, 4, 7, 8]","[3, 6]",100.0,0.8044563043312214,0.8264567784662603,0.9010961569558419,0.8423122061907277,0.8446348761487539,0.9182188700377772,0.8423122061907277,0.8446348761487539,0.9182189320407612,0.7622247420493953,0.8012127190415643,0.9155281265376742
2.3,179.28005647659302,mnist,0.9905378486055777,"[2, 4, 7, 8]","[3, 6]",100.0,0.8039115461140334,0.8270781029285462,0.8856219792146156,0.8265051886132444,0.8365985973401746,0.9061940113053761,0.8265051886132444,0.8365985973401746,0.9061941353113443,0.7637717428756792,0.8039505359280069,0.9009561542177901
2.4,167.89855647087097,mnist,0.9907868525896414,"[2, 4, 7, 8]","[3, 6]",100.0,0.7929957548764283,0.817555283244944,0.8764697807376073,0.8160577187391045,0.8259355280519515,0.8968318707242743,0.8160577187391045,0.8259355280519515,0.8968310646854811,0.7390437410480775,0.7870122017475155,0.8928751192937412
2.5,178.9963891506195,mnist,0.9905378486055777,"[2, 4, 7, 8]","[3, 6]",100.0,0.8053634743523646,0.8252113802683393,0.8922203057788766,0.8293218465704943,0.8353118470867889,0.9082570365946572,0.8293218465704943,0.8353118470867889,0.9082559825439278,0.7695661685451827,0.8064402977653923,0.9055896992210443
