experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,variation_ratio__bal_acc,variation_ratio__f1_score,variation_ratio__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,1733.2882459163666,mnist,0.9928764431343652,"[0, 1, 4, 8]","[7, 9]",100.0,0.8529176322691967,0.8536836097198166,0.9183335719044514,0.8493323633894658,0.8524697752186358,0.9171036052513921,0.8488077508022596,0.8520017812342257,0.9162774423055512,0.7058707322532443,0.7682528993188634,0.7080278613197452,0.849365870358745,0.8514470561251587,0.9184771563736484
1.2,1713.0294375419614,mnist,0.9948415622697128,"[0, 1, 4, 8]","[7, 9]",100.0,0.8734597872636698,0.874674361792328,0.92865265635686,0.8709714359272118,0.8736181567703801,0.9297225342160212,0.870734509157405,0.8729756100217895,0.9286400966604336,0.7562404933620636,0.8011551185374374,0.7597009769802855,0.8696886246936897,0.8728819569271112,0.929902914177764
1.3,1712.7970626354218,mnist,0.9938590027020388,"[0, 1, 4, 8]","[7, 9]",100.0,0.8306313130998686,0.8351808186103469,0.900868209527546,0.8244857523215645,0.8311385979877618,0.8978759407465079,0.8220054307032727,0.8297418076782646,0.8957408870250888,0.7302152187739895,0.7837011430160465,0.7307379383365611,0.8265385001132819,0.8333590560325509,0.8998766877644321
1.4,1774.9182405471802,mnist,0.9958241218373864,"[0, 1, 4, 8]","[7, 9]",100.0,0.8720399873632585,0.8746443293225414,0.9306293884778484,0.8700815303467103,0.8727195298408286,0.9298469951273428,0.8690701990895078,0.8721087190402141,0.9289421605151924,0.7258698131238615,0.7811746469607136,0.7273985107103283,0.871095902891881,0.8711832157287055,0.9308372861664348
1.5,1760.6747941970825,mnist,0.9921395234586096,"[0, 1, 4, 8]","[7, 9]",100.0,0.8784527260776813,0.8798598396965159,0.9320913623875086,0.8760891446638245,0.8783030167584295,0.9331903989388759,0.8752254957061049,0.8774444414744749,0.9322977453388379,0.7515439133214821,0.7973839522680333,0.7534212234381356,0.8747267822556687,0.8768628144952281,0.933787678773709
2.1,1674.6117033958435,mnist,0.9905378486055776,"[2, 4, 7, 8]","[3, 6]",100.0,0.916503494716135,0.9138424901825272,0.9584311533745496,0.9167851290039596,0.9151902558807801,0.9698335021467912,0.9170624648348864,0.9154268028602704,0.9701308064554528,0.8263582150282199,0.8475150027061336,0.8307164147196078,0.9151827791957472,0.914852923967298,0.969891784951826
2.2,1674.6618356704712,mnist,0.9885458167330676,"[2, 4, 7, 8]","[3, 6]",100.0,0.9186335095086321,0.9163677793356704,0.9576572321272676,0.9194656435817216,0.9181038405634276,0.9703412755849112,0.9197487008412464,0.9186760635636912,0.9705545348486532,0.8267111022346407,0.8483296244910743,0.8278980070752846,0.91180008216579,0.9130420961732152,0.970370696000857
2.3,1674.4143640995026,mnist,0.9897908366533864,"[2, 4, 7, 8]","[3, 6]",100.0,0.9135305618799502,0.9101176657878544,0.9513367719361596,0.915270643120322,0.9142078344899264,0.9676696600053968,0.9154157937286168,0.9142652265811628,0.9678356419937778,0.8244123832510613,0.846187332471054,0.8249527723270265,0.9140766450203104,0.9114657232727984,0.9675250690465228
2.4,1674.505437374115,mnist,0.9915338645418328,"[2, 4, 7, 8]","[3, 6]",100.0,0.9088096050125136,0.9056122275816032,0.9475234024063108,0.9108636432523768,0.9084717032796641,0.9639577273575024,0.9108773230989976,0.9086785390796336,0.9641123627997968,0.8146864233709032,0.8389768695821332,0.8157488943627879,0.9040415388968271,0.9046374585191558,0.9639080009642704
2.5,1674.834885597229,mnist,0.9885458167330676,"[2, 4, 7, 8]","[3, 6]",100.0,0.8986366226060684,0.8957169101531474,0.9451795035991492,0.9012041797089736,0.90004622159034,0.9587730688302568,0.9012440959855478,0.9003363930897141,0.9587239934683576,0.8012820928403753,0.8293466264403135,0.8012550458028445,0.8973683910148034,0.8976232175502429,0.958303985254202
3.1,1667.321019411087,mnist,0.9896829391041772,"[2, 3, 6, 8]","[0, 5]",100.0,0.8780656766911152,0.8732368957039001,0.9342133351619422,0.8785839328649818,0.8733726547903017,0.937240898289532,0.8786726505303802,0.8732967530470154,0.9365855189206492,0.7590038735298431,0.7996522454446033,0.7589567201252048,0.8324902078797263,0.8465225320826071,0.936821646915834
3.2,1666.6129779815674,mnist,0.9904378459989934,"[2, 3, 6, 8]","[0, 5]",100.0,0.8579462275720018,0.8562285464199234,0.9177926866471254,0.8589317300091676,0.8576603185203192,0.9196126531651692,0.8585511306619992,0.8575085421325346,0.9188993624665284,0.7609457324707389,0.7999133206409623,0.7641554129283773,0.8478777648120355,0.8539564788755163,0.919004099589072
3.3,1667.2461602687836,mnist,0.9899345747357826,"[2, 3, 6, 8]","[0, 5]",100.0,0.8688353898487853,0.865822046120795,0.926415659417412,0.8705248617450636,0.8661339231932699,0.9301729598189872,0.8707243142940819,0.866644960436694,0.929622953628048,0.7613434280938594,0.8008263324048638,0.7628844530856441,0.8365220472289975,0.8467192971148007,0.92966020830148
3.4,1667.573891401291,mnist,0.9914443885254152,"[2, 3, 6, 8]","[0, 5]",100.0,0.8953521004607483,0.8938576832137931,0.9472648285109834,0.8961658681134581,0.8945959409139037,0.9497588925996832,0.8959200556718071,0.8943354544119578,0.9491829898674558,0.8029263472817183,0.830085363101895,0.8066637222349703,0.8877626805830299,0.8899984816791624,0.9494013688881436
3.5,1666.8669476509094,mnist,0.9909411172622044,"[2, 3, 6, 8]","[0, 5]",100.0,0.8704802741778477,0.8684905554727032,0.9292458030641636,0.8706264572435156,0.8685832040215465,0.933966848550242,0.8709212236626672,0.8684581689474956,0.9338407278509157,0.7486150909459932,0.7923507808979053,0.7489311543327246,0.8506913755222372,0.8578725719823244,0.9337629473619936
4.1,1653.4480481147766,mnist,0.9879610655737704,"[3, 5, 7, 8]","[2, 4]",100.0,0.9267117778032716,0.9239545107283272,0.9526396248825312,0.9344016706926342,0.9344359033147857,0.9789806532678452,0.935125950115053,0.934774005811,0.97999984688878,0.8636529025336819,0.8752727275673557,0.8686374758034072,0.9340437024502516,0.9336531431771148,0.979250731419828
4.2,1653.3295991420746,mnist,0.9851434426229508,"[3, 5, 7, 8]","[2, 4]",100.0,0.8912772500411333,0.886240408956313,0.9199161176416254,0.8949456668803039,0.8933738717308357,0.9588560345398832,0.8955698829462575,0.8946830925182807,0.9598495632063196,0.8359962254025337,0.8515449134724676,0.8407577737829415,0.8934552963461604,0.8910417558994314,0.9591751522076128
4.3,1652.8826637268066,mnist,0.9864241803278688,"[3, 5, 7, 8]","[2, 4]",100.0,0.926499969228653,0.9236309005790342,0.9497972154842128,0.9323921508200014,0.9311858158543204,0.9769108280254778,0.9326916091879196,0.931716020620722,0.9777723296399226,0.875443710038725,0.8842835408579341,0.8822092794435386,0.9315722439499472,0.930662037867223,0.9773211535449514
